,epoch,dot_p_b_corr,dot_p_b_org
0,0,0.01652615127430083,0.016280558010649718
1,1,0.13856081601163622,0.1133459036835247
2,2,0.12124884599793673,0.14012643837277453
3,4,0.09749152025970194,0.184262805763965
4,6,0.10877233058301293,0.20811995277496775
5,8,0.11509695020262595,0.21715672715502599
6,10,0.1183912837468205,0.2185306312204085
7,12,0.12096481801155393,0.21659419565571592
8,14,0.12572711548337415,0.21378014919514565
9,16,0.13301348750885708,0.21080188033100764
10,18,0.13934534419492214,0.20627110367932744
11,20,0.14558331315436246,0.20065564181661522
12,25,0.16142177964839713,0.18633229028726894
13,30,0.17296186019550008,0.16859728645210698
14,35,0.17927464689631983,0.1506258083533148
15,40,0.1839609216391275,0.1382984222927469
16,45,0.17974232842966642,0.12126488722206029
17,50,0.18565850631187963,0.11964652831350836
18,55,0.19787060538388423,0.1230840064761267
19,60,0.21069967531564662,0.12499087840781027
20,65,0.220798572505471,0.1296759358137302
21,70,0.23429536790494293,0.13446006898819682
22,75,0.24124431367035074,0.13562945884741134
23,80,0.2505336735655061,0.14035239419443524
24,85,0.2611941033231907,0.14548771533093935
25,90,0.2608218315433807,0.14130293069247854
26,95,0.2688558788742048,0.14636114273094822
27,100,0.27731149583279635,0.15191521594695426
28,105,0.2812850519099172,0.15139175087087134
29,110,0.28671822046099005,0.15821471971997345
30,115,0.2957533045145699,0.16020208223617716
31,120,0.29431832575985906,0.1589183170671222
32,125,0.29691204865637877,0.15724373879748965
33,130,0.30568904794241286,0.1647415182444968
34,135,0.30675652002299997,0.16670425915696566
35,140,0.3131893351820698,0.1680864627480514
36,145,0.3090267014879385,0.16150737326628503
37,150,0.32058506249615715,0.1736169528387117
38,155,0.3179298788416772,0.16930989416358685
39,160,0.31049775254316636,0.16222460779845943
40,165,0.3175143510721392,0.17016661834519278
41,170,0.33313871877319606,0.1799387687478855
42,175,0.32715124289923275,0.17303646937050635
43,180,0.32356556425096106,0.17098583081705615
44,185,0.32108140047553085,0.1708434089928832
45,190,0.3187881967365347,0.1682274887874937
46,195,0.31732345301014475,0.1661847930203492
47,200,0.31262470462691844,0.16300366939397787
48,205,0.3109174585003675,0.16271924457195067
