epoch,Train_acc_withbias,Train_acc_org_withbias,Test_acc_withbias,Train_acc_zerobias,Train_acc_org_zerobias,Test_acc_zerobias
0,9.813333333333334,9.035,8.92,11.196666666666667,16.716666666666665,17.68
1,10.215,9.576666666666666,9.19,11.27,15.673333333333334,16.84
2,10.063333333333334,11.236666666666666,11.35,11.231666666666666,15.401666666666666,16.150000000000002
4,10.198333333333332,11.1,11.21,11.168333333333333,15.263333333333334,15.939999999999998
6,10.403333333333334,6.673333333333334,6.5,11.26,15.024999999999999,15.76
8,10.538333333333332,6.483333333333334,6.18,11.298333333333334,14.736666666666668,15.4
10,10.61,6.693333333333333,6.460000000000001,11.283333333333333,14.193333333333333,14.67
12,10.665,6.973333333333333,6.67,11.43,13.326666666666668,13.719999999999999
14,10.815,7.359999999999999,7.07,11.468333333333334,12.766666666666667,12.91
16,10.785,6.909999999999999,6.52,11.593333333333334,12.303333333333333,12.559999999999999
18,10.886666666666667,5.8966666666666665,5.59,11.785,12.125,12.04
20,11.07,5.525,5.2,12.033333333333333,12.19,12.11
25,10.661666666666667,8.458333333333332,8.61,12.625,12.045,12.32
30,10.381666666666668,8.858333333333333,9.180000000000001,13.206666666666667,11.655,11.95
35,10.716666666666667,8.605,8.780000000000001,13.863333333333333,11.515,11.87
40,11.315,8.623333333333333,8.36,14.586666666666668,10.611666666666666,10.61
45,12.291666666666666,8.465,8.129999999999999,15.246666666666666,9.68,9.700000000000001
50,12.608333333333333,7.756666666666668,7.66,16.09,9.73,9.32
55,12.068333333333333,7.683333333333334,7.39,17.05,9.631666666666666,9.08
60,11.905000000000001,7.878333333333333,7.5600000000000005,17.630000000000003,10.16,10.07
65,12.063333333333333,7.61,7.380000000000001,18.068333333333335,10.45,10.39
70,12.331666666666667,7.513333333333333,7.35,18.698333333333334,11.19,11.39
75,12.923333333333334,7.608333333333333,7.449999999999999,19.333333333333332,10.74,11.110000000000001
80,13.533333333333333,7.5216666666666665,7.28,18.763333333333335,10.736666666666666,11.15
85,13.87,7.461666666666666,7.42,18.516666666666666,10.636666666666667,10.51
90,14.143333333333333,8.463333333333335,8.73,18.458333333333332,11.055,10.91
95,15.28,7.185,7.82,19.2,9.958333333333332,9.82
100,16.725,8.200000000000001,8.63,20.44833333333333,11.921666666666667,12.23
105,17.326666666666668,9.83,9.94,21.808333333333334,12.216666666666667,12.6
110,18.068333333333335,9.879999999999999,10.639999999999999,23.12666666666667,11.436666666666667,12.36
115,20.136666666666667,9.195,9.78,25.108333333333334,9.838333333333333,10.74
120,20.116666666666667,8.788333333333332,9.02,24.281666666666666,11.64,12.389999999999999
125,21.23,9.285,9.35,26.236666666666668,10.795,10.82
130,21.613333333333333,9.606666666666666,9.55,26.881666666666664,11.558333333333334,11.64
135,22.156666666666666,9.885,9.950000000000001,27.36,11.04,11.26
140,23.346666666666664,9.345,9.07,28.871666666666666,10.72,10.84
145,24.753333333333334,10.530000000000001,10.89,30.361666666666665,11.42,11.61
150,26.779999999999998,10.435,10.209999999999999,32.48666666666667,11.05,11.48
155,27.158333333333335,9.728333333333333,10.01,32.41833333333333,10.833333333333334,11.48
160,27.946666666666665,9.596666666666668,9.98,33.77166666666667,10.620000000000001,10.94
165,29.138333333333332,9.481666666666666,9.71,34.80333333333333,10.556666666666667,10.870000000000001
170,29.968333333333337,9.163333333333332,9.47,35.72166666666667,10.24,10.22
175,31.865,8.48,8.5,38.190000000000005,9.136666666666667,9.07
180,32.25833333333333,9.053333333333333,9.34,38.17,9.898333333333333,9.93
185,33.358333333333334,8.363333333333333,8.4,39.54666666666667,9.093333333333334,9.36
190,33.615,8.495,8.51,39.85666666666667,9.120000000000001,9.0
195,35.18833333333333,8.471666666666666,8.4,41.211666666666666,9.203333333333333,9.07
200,36.415,8.406666666666666,8.110000000000001,42.586666666666666,9.011666666666667,9.11
205,35.85,8.845,8.6,41.959999999999994,9.371666666666666,9.629999999999999
210,38.61333333333333,8.943333333333333,8.450000000000001,44.708333333333336,9.463333333333333,9.45
215,40.348333333333336,8.651666666666667,8.04,46.53666666666666,9.181666666666667,8.98
220,39.465,9.166666666666666,8.89,45.663333333333334,9.445,9.229999999999999
225,41.91166666666667,9.031666666666666,8.7,48.54,9.588333333333333,9.39
230,45.35666666666667,8.656666666666666,8.33,51.72833333333333,9.253333333333332,9.19
235,45.665,8.681666666666667,8.3,52.026666666666664,9.283333333333333,9.06
240,45.36833333333333,9.11,8.5,51.79666666666667,9.54,8.89
245,43.835,8.806666666666667,8.57,49.51,9.236666666666666,9.229999999999999
250,47.19,9.375,9.049999999999999,53.33,10.041666666666666,9.9
255,51.568333333333335,8.738333333333333,8.4,58.165,9.221666666666668,8.62
260,52.63333333333333,8.786666666666667,8.7,59.00666666666666,9.251666666666667,9.13
265,53.68833333333334,9.27,9.04,60.195,9.785,9.25
270,53.85666666666666,8.99,8.799999999999999,60.36833333333333,9.468333333333332,8.799999999999999
275,48.205,8.926666666666666,9.08,53.89833333333334,9.311666666666667,9.19
280,53.031666666666666,9.576666666666666,9.67,60.095,10.068333333333333,10.190000000000001
285,58.111666666666665,9.251666666666667,9.08,64.72333333333333,9.478333333333333,9.1
290,57.46,8.966666666666667,8.75,63.79,9.273333333333333,9.139999999999999
295,58.901666666666664,9.401666666666667,8.89,65.46833333333333,9.843333333333334,9.36
300,57.66166666666667,9.398333333333333,9.180000000000001,64.37166666666667,9.891666666666667,10.100000000000001
305,60.535000000000004,9.558333333333334,9.16,66.86333333333333,9.858333333333333,9.43
310,60.71333333333333,9.475,9.21,67.09333333333333,9.77,9.55
