,number_pca_components_class
0,6
1,5
2,6
3,6
4,6
5,5
6,6
7,6
8,6
9,5
10,6
11,6
12,5
13,5
14,7
15,7
16,6
17,6
18,6
19,6
20,5
21,5
22,6
23,6
24,6
25,6
26,6
27,5
28,5
29,5
30,6
31,6
32,6
33,6
34,6
35,6
36,6
37,6
38,6
39,6
40,6
41,6
42,7
43,6
44,5
45,6
46,7
47,6
48,5
49,5
50,5
51,6
52,6
53,6
54,5
55,5
56,6
57,5
58,5
59,5
60,5
61,6
62,6
63,5
64,6
65,5
66,6
67,6
68,5
69,6
70,5
71,6
72,7
73,6
74,6
75,5
76,6
77,5
78,6
79,7
80,6
81,5
82,5
83,6
84,5
85,6
86,6
87,5
88,6
89,6
90,6
91,6
92,6
93,5
94,5
95,6
96,6
97,5
98,6
99,5
100,6
101,6
102,6
103,6
104,6
105,5
106,5
107,5
108,5
109,6
110,6
111,4
112,5
113,6
114,5
115,6
116,5
117,6
118,5
119,5
120,5
121,5
122,6
123,5
124,6
125,5
126,5
127,6
128,5
129,5
130,7
131,6
132,6
133,4
134,6
135,6
136,6
137,6
138,5
139,5
140,6
141,6
142,6
143,4
144,6
145,5
146,5
147,5
148,6
149,6
150,5
151,6
152,6
153,5
154,5
155,5
156,6
157,6
158,6
159,6
160,6
161,6
162,6
163,6
164,5
165,6
166,5
167,5
168,6
169,6
170,6
171,6
172,6
173,6
174,6
175,7
176,5
177,6
178,6
179,6
180,6
181,6
182,7
183,6
184,6
185,6
186,6
187,6
188,7
189,6
190,6
191,6
192,6
193,6
194,7
195,7
196,7
197,7
198,7
199,6
