,pca_variance_class
0,0.8503754450722324
1,0.634663154204313
2,0.59132454222364
3,0.6436137420205365
4,0.6928026160099899
5,0.7549613953454953
6,0.7825816124301841
7,0.6103582706781512
8,0.6260976800529391
9,0.6104909266648961
