,acc_class
0,0.32199999690055847
1,0.08799999952316284
2,0.10799999535083771
3,0.1119999960064888
4,0.17599999904632568
5,0.07599999755620956
6,0.31200000643730164
7,0.07599999755620956
8,0.08399999886751175
9,0.171999990940094
10,0.06199999898672104
11,0.07000000029802322
12,0.07800000160932541
13,0.34199997782707214
14,0.42399999499320984
15,0.07000000029802322
16,0.06399999558925629
17,0.09200000017881393
18,0.24199999868869781
19,0.17999999225139618
20,0.085999995470047
21,0.21599999070167542
22,0.12399999797344208
23,0.5080000162124634
24,0.03799999877810478
25,0.07000000029802322
26,0.11800000071525574
27,0.04999999701976776
28,0.09600000083446503
29,0.053999997675418854
30,0.08799999952316284
31,0.1979999989271164
32,0.05199999734759331
33,0.09799999743700027
34,0.15399999916553497
35,0.11400000005960464
36,0.27799999713897705
37,0.20600000023841858
38,0.1599999964237213
39,0.17599999904632568
40,0.07400000095367432
41,0.14399999380111694
42,0.12600000202655792
43,0.15799999237060547
44,0.1939999908208847
45,0.1379999965429306
46,0.13199999928474426
47,0.17999999225139618
48,0.2979999780654907
49,0.08799999952316284
50,0.2639999985694885
51,0.11599999666213989
52,0.1979999989271164
53,0.3199999928474426
54,0.06199999898672104
55,0.16599999368190765
56,0.1340000033378601
57,0.20799998939037323
58,0.23999999463558197
59,0.20399999618530273
60,0.18199999630451202
61,0.23999999463558197
62,0.03199999779462814
63,0.2019999921321869
64,0.12399999797344208
65,0.12600000202655792
66,0.27799999713897705
67,0.10999999940395355
68,0.16200000047683716
69,0.11999999731779099
70,0.13199999928474426
71,0.21199999749660492
72,0.18199999630451202
73,0.1979999989271164
74,0.12399999797344208
75,0.12199999392032623
76,0.09999999403953552
77,0.07800000160932541
78,0.44599997997283936
79,0.10999999940395355
80,0.04999999701976776
81,0.2239999920129776
82,0.09999999403953552
83,0.12399999797344208
84,0.10199999809265137
85,0.27799999713897705
86,0.12600000202655792
87,0.1419999897480011
88,0.0139999995008111
89,0.2639999985694885
90,0.1459999978542328
91,0.2239999920129776
92,0.057999998331069946
93,0.3059999942779541
94,0.10399999469518661
95,0.11800000071525574
96,0.13599999248981476
97,0.17000000178813934
98,0.15399999916553497
99,0.04399999976158142
100,0.03999999910593033
101,0.2280000001192093
102,0.17000000178813934
103,0.343999981880188
104,0.11400000005960464
105,0.14000000059604645
106,0.12999999523162842
107,0.10399999469518661
108,0.09799999743700027
109,0.10799999535083771
110,0.06799999624490738
111,0.10199999809265137
112,0.10399999469518661
113,0.23799999058246613
114,0.1119999960064888
115,0.20999999344348907
116,0.12600000202655792
117,0.1939999908208847
118,0.18199999630451202
119,0.08799999952316284
120,0.171999990940094
121,0.10799999535083771
122,0.12600000202655792
123,0.23399999737739563
124,0.23600000143051147
125,0.041999999433755875
126,0.3139999806880951
127,0.16599999368190765
128,0.25200000405311584
129,0.1679999977350235
130,0.18400000035762787
131,0.06199999898672104
132,0.085999995470047
133,0.25200000405311584
134,0.10799999535083771
135,0.04800000041723251
136,0.07400000095367432
137,0.07400000095367432
138,0.08399999886751175
139,0.03399999812245369
140,0.1939999908208847
141,0.05999999865889549
142,0.07599999755620956
143,0.18199999630451202
144,0.06199999898672104
145,0.34599998593330383
146,0.20399999618530273
147,0.07599999755620956
148,0.24399998784065247
149,0.09799999743700027
150,0.25599998235702515
151,0.1939999908208847
152,0.2019999921321869
153,0.1340000033378601
154,0.10999999940395355
155,0.0559999980032444
156,0.09799999743700027
157,0.15199999511241913
158,0.1639999896287918
159,0.0139999995008111
160,0.17799998819828033
161,0.025999998673796654
162,0.19200000166893005
163,0.15199999511241913
164,0.1639999896287918
165,0.28999999165534973
166,0.1639999896287918
167,0.08399999886751175
168,0.07400000095367432
169,0.14399999380111694
170,0.19999998807907104
171,0.15399999916553497
172,0.12199999392032623
173,0.25999999046325684
174,0.08999999612569809
175,0.07000000029802322
176,0.22199998795986176
177,0.2540000081062317
178,0.29600000381469727
179,0.085999995470047
180,0.06199999898672104
181,0.23399999737739563
182,0.25200000405311584
183,0.30799999833106995
184,0.35999998450279236
185,0.12600000202655792
186,0.27399998903274536
187,0.32199999690055847
188,0.2199999988079071
189,0.2919999957084656
190,0.2280000001192093
191,0.37599998712539673
192,0.22599999606609344
193,0.3179999887943268
194,0.2540000081062317
195,0.12600000202655792
196,0.17000000178813934
197,0.20999999344348907
198,0.20600000023841858
199,0.1340000033378601
