,pca_variance_class
0,0.8791498081281839
1,0.8717331920657336
2,0.8688953863460053
3,0.8816422833648905
4,0.8500284788363249
5,0.8600465097858849
6,0.8675598419606094
7,0.8618677219286499
8,0.8781516498565779
9,0.8689119634721738
