,pca_variance_class
0,0.3639711035603016
1,0.2630935569943741
2,0.3514033478313929
3,0.29368520776664436
4,0.33813778710384057
5,0.2592203251068178
6,0.3936504257263786
7,0.22626134182963556
8,0.31110247372315225
9,0.23549509658724518
