,number_pca_components_class
0,9
1,8
2,8
3,8
4,8
5,9
6,9
7,9
8,9
9,8
10,9
11,8
12,8
13,8
14,9
15,9
16,9
17,9
18,9
19,8
20,8
21,9
22,9
23,7
24,9
25,9
26,9
27,9
28,9
29,9
30,8
31,9
32,9
33,8
34,8
35,8
36,9
37,9
38,9
39,9
40,9
41,9
42,9
43,9
44,8
45,8
46,8
47,9
48,8
49,8
50,9
51,8
52,8
53,9
54,9
55,8
56,8
57,8
58,8
59,9
60,9
61,8
62,10
63,10
64,9
65,8
66,9
67,10
68,8
69,9
70,8
71,9
72,10
73,9
74,9
75,9
76,9
77,9
78,8
79,10
80,10
81,8
82,8
83,9
84,8
85,10
86,9
87,9
88,9
89,10
90,8
91,9
92,9
93,8
94,8
95,9
96,9
97,9
98,9
99,9
100,9
101,9
102,9
103,8
104,10
105,9
106,10
107,8
108,8
109,10
110,10
111,7
112,8
113,10
114,8
115,8
116,8
117,9
118,8
119,9
120,9
121,8
122,10
123,9
124,9
125,10
126,8
127,9
128,9
129,9
130,10
131,9
132,9
133,7
134,10
135,9
136,9
137,9
138,9
139,9
140,9
141,10
142,9
143,8
144,9
145,8
146,8
147,9
148,8
149,10
150,9
151,9
152,9
153,9
154,8
155,10
156,10
157,8
158,10
159,10
160,10
161,10
162,9
163,9
164,8
165,8
166,7
167,8
168,10
169,10
170,9
171,9
172,10
173,9
174,10
175,10
176,8
177,9
178,9
179,9
180,10
181,9
182,9
183,9
184,9
185,9
186,9
187,9
188,9
189,9
190,9
191,8
192,9
193,10
194,8
195,9
196,9
197,9
198,8
199,9
