,acc_class
0,0.041999999433755875
1,0.003999999724328518
2,0.001999999862164259
3,0.009999999776482582
4,0.0
5,0.0
6,0.006000000052154064
7,0.0
8,0.009999999776482582
9,0.001999999862164259
10,0.001999999862164259
11,0.009999999776482582
12,0.0139999995008111
13,0.31599998474121094
14,0.0279999990016222
15,0.007999999448657036
16,0.012000000104308128
17,0.006000000052154064
18,0.0
19,0.007999999448657036
20,0.0139999995008111
21,0.006000000052154064
22,0.029999999329447746
23,0.3959999978542328
24,0.009999999776482582
25,0.006000000052154064
26,0.0139999995008111
27,0.006000000052154064
28,0.012000000104308128
29,0.017999999225139618
30,0.001999999862164259
31,0.001999999862164259
32,0.012000000104308128
33,0.0139999995008111
34,0.11400000005960464
35,0.006000000052154064
36,0.006000000052154064
37,0.0
38,0.0139999995008111
39,0.007999999448657036
40,0.001999999862164259
41,0.0
42,0.007999999448657036
43,0.0
44,0.003999999724328518
45,0.006000000052154064
46,0.03799999877810478
47,0.006000000052154064
48,0.007999999448657036
49,0.006000000052154064
50,0.007999999448657036
51,0.0139999995008111
52,0.11999999731779099
53,0.009999999776482582
54,0.012000000104308128
55,0.007999999448657036
56,0.041999999433755875
57,0.001999999862164259
58,0.007999999448657036
59,0.003999999724328518
60,0.001999999862164259
61,0.0
62,0.0139999995008111
63,0.007999999448657036
64,0.007999999448657036
65,0.007999999448657036
66,0.012000000104308128
67,0.10199999809265137
68,0.001999999862164259
69,0.009999999776482582
70,0.001999999862164259
71,0.053999997675418854
72,0.006000000052154064
73,0.006000000052154064
74,0.012000000104308128
75,0.001999999862164259
76,0.006000000052154064
77,0.009999999776482582
78,0.14000000059604645
79,0.017999999225139618
80,0.006000000052154064
81,0.0
82,0.001999999862164259
83,0.006000000052154064
84,0.012000000104308128
85,0.01599999889731407
86,0.003999999724328518
87,0.001999999862164259
88,0.025999998673796654
89,0.007999999448657036
90,0.001999999862164259
91,0.0279999990016222
92,0.025999998673796654
93,0.0
94,0.007999999448657036
95,0.017999999225139618
96,0.0
97,0.006000000052154064
98,0.009999999776482582
99,0.003999999724328518
100,0.001999999862164259
101,0.01599999889731407
102,0.003999999724328518
103,0.003999999724328518
104,0.02199999988079071
105,0.019999999552965164
106,0.006000000052154064
107,0.001999999862164259
108,0.001999999862164259
109,0.024000000208616257
110,0.001999999862164259
111,0.003999999724328518
112,0.006000000052154064
113,0.019999999552965164
114,0.0
115,0.009999999776482582
116,0.006000000052154064
117,0.001999999862164259
118,0.0
119,0.007999999448657036
120,0.006000000052154064
121,0.001999999862164259
122,0.001999999862164259
123,0.003999999724328518
124,0.003999999724328518
125,0.012000000104308128
126,0.003999999724328518
127,0.01599999889731407
128,0.0139999995008111
129,0.003999999724328518
130,0.041999999433755875
131,0.0139999995008111
132,0.0279999990016222
133,0.006000000052154064
134,0.025999998673796654
135,0.006000000052154064
136,0.007999999448657036
137,0.007999999448657036
138,0.006000000052154064
139,0.006000000052154064
140,0.085999995470047
141,0.003999999724328518
142,0.001999999862164259
143,0.0
144,0.001999999862164259
145,0.007999999448657036
146,0.025999998673796654
147,0.001999999862164259
148,0.041999999433755875
149,0.006000000052154064
150,0.0139999995008111
151,0.0139999995008111
152,0.007999999448657036
153,0.001999999862164259
154,0.0
155,0.003999999724328518
156,0.009999999776482582
157,0.0139999995008111
158,0.006000000052154064
159,0.024000000208616257
160,0.003999999724328518
161,0.012000000104308128
162,0.007999999448657036
163,0.012000000104308128
164,0.0
165,0.001999999862164259
166,0.0
167,0.007999999448657036
168,0.02199999988079071
169,0.0
170,0.006000000052154064
171,0.003999999724328518
172,0.003999999724328518
173,0.009999999776482582
174,0.009999999776482582
175,0.003999999724328518
176,0.001999999862164259
177,0.0
178,0.0
179,0.03199999779462814
180,0.003999999724328518
181,0.001999999862164259
182,0.03799999877810478
183,0.003999999724328518
184,0.019999999552965164
185,0.001999999862164259
186,0.006000000052154064
187,0.006000000052154064
188,0.001999999862164259
189,0.007999999448657036
190,0.03999999910593033
191,0.0
192,0.0559999980032444
193,0.012000000104308128
194,0.2199999988079071
195,0.003999999724328518
196,0.08399999886751175
197,0.025999998673796654
198,0.18400000035762787
199,0.0139999995008111
