Epoch,Correct,Total,Accuracy
40,1462,43276,0.0338
41,1274,43276,0.0294
42,1508,43276,0.0348
43,1499,43276,0.0346
44,1657,43276,0.0383
45,1743,43276,0.0403
46,1897,43276,0.0438
47,1859,43276,0.043
48,2041,43276,0.0472
49,2517,43276,0.0582
50,2516,43276,0.0581
51,2572,43276,0.0594
52,2526,43276,0.0584
53,2940,43276,0.0679
54,3311,43276,0.0765
55,3281,43276,0.0758
56,3560,43276,0.0823
57,3240,43276,0.0749
58,3515,43276,0.0812
59,3376,43276,0.078
60,3489,43276,0.0806
61,3613,43276,0.0835
62,3478,43276,0.0804
63,3830,43276,0.0885
64,3566,43276,0.0824
65,4086,43276,0.0944
66,3637,43276,0.084
67,3788,43276,0.0875
68,3606,43276,0.0833
69,3481,43276,0.0804
70,3753,43276,0.0867
71,3516,43276,0.0812
72,4122,43276,0.0952
73,4024,43276,0.093
74,3976,43276,0.0919
75,4218,43276,0.0975
76,3782,43276,0.0874
77,3737,43276,0.0864
78,3874,43276,0.0895
79,3722,43276,0.086
80,4095,43276,0.0946
81,3770,43276,0.0871
82,3912,43276,0.0904
83,4380,43276,0.1012
84,4034,43276,0.0932
85,3722,43276,0.086
86,4499,43276,0.104
87,4365,43276,0.1009
88,3695,43276,0.0854
89,3699,43276,0.0855
90,3676,43276,0.0849
91,3956,43276,0.0914
92,4153,43276,0.096
93,4586,43276,0.106
94,4294,43276,0.0992
95,4120,43276,0.0952
96,4117,43276,0.0951
97,4316,43276,0.0997
98,4281,43276,0.0989
99,4735,43276,0.1094
