,epoch,dot_p_b_corr,dot_p_b_org
0,0,0.003655049328062988,0.0028395291363404957
1,1,0.08449272900362607,0.0819571762029987
2,2,0.03663588443418011,0.06855826788556393
3,4,0.005271498470666398,-0.053969129710073574
4,6,-0.058192267647525754,-0.07529854942586581
5,8,-0.16306224504386868,-0.18807044178684235
6,10,-0.1380555063092552,-0.06785794936720854
7,12,-0.04445497520917325,-0.2014442259901741
8,14,-0.06851939359065776,-0.1467219868382444
9,16,0.06447946800165745,0.02722108541875063
10,18,0.011445318928588211,0.0280092539476285
11,20,-0.03256833326165289,-0.031410075393376855
12,25,0.05531511100813605,0.0179577571041792
13,30,0.051293107815578276,0.10139250646926559
14,35,0.10545140481201323,0.0060436128602131215
15,40,0.06530483950108469,-0.08726042013521575
16,45,0.16424892297993912,0.14889780393211763
17,50,0.06200072321284788,-0.008353347855507037
18,55,-0.13581804224152952,0.046130303438885946
19,60,-0.07740414813240118,-0.07343395258963947
20,65,-0.13658629381057352,-0.0705804309061879
21,70,-0.1603330994527476,-0.1509745162076289
22,75,0.0505824837029661,-0.07211114084840416
23,80,-0.011095791032811275,-0.028496242777546255
24,85,0.09440641438502471,0.04069841041997843
25,90,-0.04843316926685714,0.00013546639180440635
26,95,0.11564786758161771,0.003404003337511211
27,100,0.17745751280963482,0.030640608712517295
28,105,0.16140621731018504,0.04813089275320831
29,110,-0.00415303025854426,-0.08570609999337159
30,115,0.11931501934287642,-0.08749414294428004
31,120,0.04940627134478125,-0.007443531170235837
32,125,0.11511816324602053,0.029365640449098274
33,130,-0.00027546189843045136,0.09247081262327993
34,135,0.17532897921104096,0.033341722245574426
35,140,0.12442326278794834,-0.08014067027821538
36,145,0.11245309538265391,-0.06101127746214714
37,150,-0.061736422378998214,0.00272158841937063
38,155,-0.0077915071411011234,-0.13446189450464227
39,160,0.067554951220494,0.009442659202867737
40,165,0.24775426663271466,0.009658079642292467
41,170,0.2443406642994173,-0.04194863415870008
42,175,0.1281550856668233,0.005650440888288389
