,epoch,dot_p_b_corr,dot_p_b_org
0,0,0.014522920927640265,0.014503796331927044
1,1,0.13504498031425843,0.1761107473026754
2,2,0.14662545667578403,0.2089299073297376
3,4,0.16595635861611036,0.23937607782537307
4,6,0.18548924960011323,0.2631437650666741
5,8,0.202491403919049,0.27908704525107836
6,10,0.21579180819102037,0.28829815682193305
7,12,0.22593664001373504,0.29282276973651156
8,14,0.23595788572166213,0.2967042643009938
9,16,0.24250471397911194,0.29600746502583003
10,18,0.24737434885440346,0.2930095597508275
11,20,0.25077669126563795,0.28833100767203007
12,25,0.2516029451129976,0.26900783192647315
13,30,0.2438300995682352,0.24310914175106546
14,35,0.2331043869892577,0.21657324012328505
15,40,0.2230707326894013,0.19575560342671705
16,45,0.21946446694758437,0.18400905785884059
17,50,0.22253004659333367,0.1825610198612783
18,55,0.23381290924765388,0.18690451845083078
19,60,0.24150725341302934,0.18832148758760253
20,65,0.24710866568344977,0.188264565550783
21,70,0.2521517113316474,0.18997117276086495
22,75,0.25943693926196837,0.1953560091270568
23,80,0.2667881523057416,0.19766981616473545
24,85,0.27148189799469746,0.20246950916442008
25,90,0.27850111438549874,0.20840724647645242
26,95,0.2791211779468021,0.2058694592239892
27,100,0.28574423148294903,0.21152178543688926
28,105,0.2839480156207006,0.20890989770688795
29,110,0.2848789831257415,0.20718910462544798
30,115,0.29216986519844595,0.2136771911932828
31,120,0.29681968644864404,0.21802229767592168
32,125,0.29783003863440105,0.21874754962770712
33,130,0.3017296000728727,0.21964865562738983
34,135,0.30056808004428565,0.21939944195380098
35,140,0.30562467172780966,0.22378131643249988
36,145,0.30394739864813514,0.22188934034981544
37,150,0.30114327173899974,0.21988541788583343
38,155,0.29955855816835036,0.21835996167930039
39,160,0.29622645895986044,0.21467135469716872
40,165,0.2960823447378064,0.21464190647575082
41,170,0.2932076081484187,0.2124084004244925
42,175,0.2907043046278466,0.21055083710949868
